 ( -3.3973629877e-02+ 0.0000000000e+00j)  ( -3.3986002247e-02+ 0.0000000000e+00j)
 ( -3.2936604294e-02+ 0.0000000000e+00j)  ( -3.2948599005e-02+ 0.0000000000e+00j)
 ( -3.1867434677e-02+ 0.0000000000e+00j)  ( -3.1879040021e-02+ 0.0000000000e+00j)
 ( -3.0771367526e-02+ 0.0000000000e+00j)  ( -3.0782573710e-02+ 0.0000000000e+00j)
 ( -2.9653632537e-02+ 0.0000000000e+00j)  ( -2.9664431669e-02+ 0.0000000000e+00j)
 ( -2.8519402121e-02+ 0.0000000000e+00j)  ( -2.8529788194e-02+ 0.0000000000e+00j)
 ( -2.7373752924e-02+ 0.0000000000e+00j)  ( -2.7383721780e-02+ 0.0000000000e+00j)
 ( -2.6221629715e-02+ 0.0000000000e+00j)  ( -2.6231178995e-02+ 0.0000000000e+00j)
 ( -2.5067811977e-02+ 0.0000000000e+00j)  ( -2.5076941065e-02+ 0.0000000000e+00j)
 ( -2.3916883493e-02+ 0.0000000000e+00j)  ( -2.3925593440e-02+ 0.0000000000e+00j)
 ( -2.2773205143e-02+ 0.0000000000e+00j)  ( -2.2781498591e-02+ 0.0000000000e+00j)
 ( -2.1640891107e-02+ 0.0000000000e+00j)  ( -2.1648772194e-02+ 0.0000000000e+00j)
 ( -2.0523788578e-02+ 0.0000000000e+00j)  ( -2.0531262843e-02+ 0.0000000000e+00j)
 ( -1.9425461069e-02+ 0.0000000000e+00j)  ( -1.9432535350e-02+ 0.0000000000e+00j)
 ( -1.8349175320e-02+ 0.0000000000e+00j)  ( -1.8355857644e-02+ 0.0000000000e+00j)
 ( -1.7297891783e-02+ 0.0000000000e+00j)  ( -1.7304191255e-02+ 0.0000000000e+00j)
 ( -1.6274258589e-02+ 0.0000000000e+00j)  ( -1.6280185278e-02+ 0.0000000000e+00j)
 ( -1.5280608891e-02+ 0.0000000000e+00j)  ( -1.5286173717e-02+ 0.0000000000e+00j)
 ( -1.4318961412e-02+ 0.0000000000e+00j)  ( -1.4324176030e-02+ 0.0000000000e+00j)
 ( -1.3391024001e-02+ 0.0000000000e+00j)  ( -1.3395900687e-02+ 0.0000000000e+00j)
 ( -1.2498199974e-02+ 0.0000000000e+00j)  ( -1.2502751514e-02+ 0.0000000000e+00j)
 ( -1.1641596996e-02+ 0.0000000000e+00j)  ( -1.1645836582e-02+ 0.0000000000e+00j)
 ( -1.0822038230e-02+ 0.0000000000e+00j)  ( -1.0825979353e-02+ 0.0000000000e+00j)
 ( -1.0040075477e-02+ 0.0000000000e+00j)  ( -1.0043731828e-02+ 0.0000000000e+00j)
 ( -9.2960040132e-03+ 0.0000000000e+00j)  ( -9.2993893921e-03+ 0.0000000000e+00j)
 ( -8.5898788460e-03+ 0.0000000000e+00j)  ( -8.5930070713e-03+ 0.0000000000e+00j)
 ( -7.9215320821e-03+ 0.0000000000e+00j)  ( -7.9244169117e-03+ 0.0000000000e+00j)
 ( -7.2905911395e-03+ 0.0000000000e+00j)  ( -7.2932461957e-03+ 0.0000000000e+00j)
 ( -6.6964975222e-03+ 0.0000000000e+00j)  ( -6.6989362240e-03+ 0.0000000000e+00j)
 ( -6.1385258995e-03+ 0.0000000000e+00j)  ( -6.1407614016e-03+ 0.0000000000e+00j)
 ( -5.6158032475e-03+ 0.0000000000e+00j)  ( -5.6178483867e-03+ 0.0000000000e+00j)
 ( -5.1273278259e-03+ 0.0000000000e+00j)  ( -5.1291950742e-03+ 0.0000000000e+00j)
 ( -4.6719877888e-03+ 0.0000000000e+00j)  ( -4.6736892133e-03+ 0.0000000000e+00j)
 ( -4.2485792453e-03+ 0.0000000000e+00j)  ( -4.2501264747e-03+ 0.0000000000e+00j)
 ( -3.8558236116e-03+ 0.0000000000e+00j)  ( -3.8572278090e-03+ 0.0000000000e+00j)
 ( -3.4923841197e-03+ 0.0000000000e+00j)  ( -3.4936559612e-03+ 0.0000000000e+00j)
 ( -3.1568813693e-03+ 0.0000000000e+00j)  ( -3.1580310288e-03+ 0.0000000000e+00j)
 ( -2.8479078353e-03+ 0.0000000000e+00j)  ( -2.8489449742e-03+ 0.0000000000e+00j)
 ( -2.5640412622e-03+ 0.0000000000e+00j)  ( -2.5649750238e-03+ 0.0000000000e+00j)
 ( -2.3038569007e-03+ 0.0000000000e+00j)  ( -2.3046959094e-03+ 0.0000000000e+00j)
 ( -2.0659385604e-03+ 0.0000000000e+00j)  ( -2.0666909251e-03+ 0.0000000000e+00j)
 ( -1.8488884706e-03+ 0.0000000000e+00j)  ( -1.8495617909e-03+ 0.0000000000e+00j)
 ( -1.6513359580e-03+ 0.0000000000e+00j)  ( -1.6519373345e-03+ 0.0000000000e+00j)
 ( -1.4719449652e-03+ 0.0000000000e+00j)  ( -1.4724810118e-03+ 0.0000000000e+00j)
 ( -1.3094204462e-03+ 0.0000000000e+00j)  ( -1.3098973053e-03+ 0.0000000000e+00j)
 ( -1.1625136866e-03+ 0.0000000000e+00j)  ( -1.1629370459e-03+ 0.0000000000e+00j)
 ( -1.0300266048e-03+ 0.0000000000e+00j)  ( -1.0304017155e-03+ 0.0000000000e+00j)
 ( -9.1081509813e-04+ 0.0000000000e+00j)  ( -9.1114679487e-04+ 0.0000000000e+00j)
 ( -8.0379150293e-04+ 0.0000000000e+00j)  ( -8.0408422427e-04+ 0.0000000000e+00j)
 ( -7.0792624238e-04+ 0.0000000000e+00j)  ( -7.0818405192e-04+ 0.0000000000e+00j)
 ( -6.2224873658e-04+ 0.0000000000e+00j)  ( -6.2247534446e-04+ 0.0000000000e+00j)
 ( -5.4584765182e-04+ 0.0000000000e+00j)  ( -5.4604643628e-04+ 0.0000000000e+00j)
 ( -4.7787056478e-04+ 0.0000000000e+00j)  ( -4.7804459363e-04+ 0.0000000000e+00j)
 ( -4.1752311618e-04+ 0.0000000000e+00j)  ( -4.1767516795e-04+ 0.0000000000e+00j)
 ( -3.6406772603e-04+ 0.0000000000e+00j)  ( -3.6420031065e-04+ 0.0000000000e+00j)
 ( -3.1682193945e-04+ 0.0000000000e+00j)  ( -3.1693731830e-04+ 0.0000000000e+00j)
 ( -2.7515646813e-04+ 0.0000000000e+00j)  ( -2.7525667342e-04+ 0.0000000000e+00j)
 ( -2.3849298833e-04+ 0.0000000000e+00j)  ( -2.3857984168e-04+ 0.0000000000e+00j)
 ( -2.0630175166e-04+ 0.0000000000e+00j)  ( -2.0637688174e-04+ 0.0000000000e+00j)
